C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C731||1||112||22||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
C730||2||123||28||
